Airline,Source,Destination,Distance,Departure_Time,Weather_Condition,Delay_Status
Akasa Air,Mumbai,Pune,151,Night,Rain,Delayed
SpiceJet,Kolkata,Pune,1802,Early Morning,Fog,Delayed
SpiceJet,Delhi,Chennai,2139,Afternoon,Rain,On Time
Air India,Delhi,Chennai,2107,Early Morning,Clear,Delayed
SpiceJet,Hyderabad,Kolkata,1556,Afternoon,Storm,Delayed
Air India,Bangalore,Delhi,2054,Early Morning,Clear,On Time
Akasa Air,Bangalore,Kolkata,1850,Evening,Cloudy,On Time
Vistara,Pune,Delhi,1496,Morning,Fog,On Time
Air India,Mumbai,Delhi,1398,Late Night,Rain,Delayed
Go First,Chennai,Bangalore,359,Morning,Fog,Delayed
Go First,Pune,Ahmedabad,661,Afternoon,Clear,On Time
Vistara,Delhi,Kolkata,1590,Morning,Storm,Delayed
SpiceJet,Delhi,Hyderabad,1515,Afternoon,Rain,Delayed
Vistara,Chennai,Pune,1176,Morning,Cloudy,On Time
Go First,Hyderabad,Delhi,1544,Afternoon,Clear,Delayed
SpiceJet,Chennai,Delhi,2226,Evening,Fog,On Time
Air India,Ahmedabad,Hyderabad,1204,Night,Fog,Delayed
Air India,Bangalore,Delhi,2176,Morning,Clear,On Time
SpiceJet,Ahmedabad,Pune,665,Night,Clear,On Time
Go First,Mumbai,Chennai,1397,Early Morning,Storm,Delayed
SpiceJet,Hyderabad,Delhi,1553,Morning,Storm,Delayed
SpiceJet,Mumbai,Pune,143,Morning,Storm,Delayed
Air India,Mumbai,Bangalore,951,Afternoon,Rain,On Time
SpiceJet,Ahmedabad,Kolkata,1874,Afternoon,Storm,On Time
IndiGo,Delhi,Kolkata,1580,Late Night,Rain,Delayed
IndiGo,Bangalore,Pune,865,Early Morning,Clear,On Time
Akasa Air,Delhi,Bangalore,2248,Afternoon,Cloudy,On Time
Go First,Chennai,Ahmedabad,1937,Evening,Cloudy,On Time
Air India,Kolkata,Pune,1909,Morning,Storm,Delayed
Akasa Air,Mumbai,Kolkata,1652,Morning,Clear,On Time
Go First,Chennai,Ahmedabad,2005,Evening,Clear,On Time
SpiceJet,Kolkata,Delhi,1502,Late Night,Clear,On Time
IndiGo,Hyderabad,Chennai,641,Night,Cloudy,On Time
SpiceJet,Mumbai,Pune,145,Evening,Cloudy,On Time
Air India,Pune,Mumbai,152,Night,Cloudy,Delayed
SpiceJet,Ahmedabad,Pune,680,Afternoon,Fog,On Time
IndiGo,Delhi,Mumbai,1391,Late Night,Cloudy,On Time
Vistara,Delhi,Kolkata,1526,Evening,Fog,Delayed
Go First,Bangalore,Pune,837,Night,Cloudy,Delayed
Vistara,Chennai,Delhi,2190,Night,Cloudy,On Time
Akasa Air,Hyderabad,Chennai,640,Night,Rain,On Time
SpiceJet,Hyderabad,Mumbai,707,Early Morning,Cloudy,On Time
Go First,Delhi,Chennai,2214,Afternoon,Clear,Delayed
SpiceJet,Kolkata,Mumbai,1689,Morning,Clear,On Time
Akasa Air,Bangalore,Kolkata,1811,Night,Cloudy,On Time
Go First,Pune,Hyderabad,538,Early Morning,Clear,On Time
Air India,Bangalore,Hyderabad,549,Morning,Storm,On Time
Akasa Air,Hyderabad,Bangalore,594,Afternoon,Clear,On Time
Go First,Pune,Delhi,1400,Morning,Storm,Delayed
Go First,Pune,Ahmedabad,697,Night,Fog,On Time
SpiceJet,Chennai,Bangalore,336,Afternoon,Clear,On Time
IndiGo,Kolkata,Pune,1868,Night,Fog,Delayed
IndiGo,Mumbai,Pune,152,Afternoon,Rain,Delayed
Go First,Hyderabad,Ahmedabad,1221,Night,Cloudy,On Time
SpiceJet,Chennai,Hyderabad,644,Afternoon,Cloudy,On Time
IndiGo,Bangalore,Hyderabad,579,Late Night,Rain,Delayed
Akasa Air,Chennai,Hyderabad,637,Morning,Fog,On Time
IndiGo,Delhi,Chennai,2280,Night,Fog,Delayed
IndiGo,Bangalore,Mumbai,967,Night,Fog,Delayed
Air India,Mumbai,Ahmedabad,540,Late Night,Clear,Delayed
Go First,Mumbai,Ahmedabad,515,Late Night,Cloudy,Delayed
Air India,Mumbai,Hyderabad,700,Morning,Rain,Delayed
Air India,Mumbai,Ahmedabad,513,Early Morning,Fog,Delayed
Go First,Chennai,Ahmedabad,2048,Early Morning,Fog,Delayed
SpiceJet,Mumbai,Delhi,1458,Night,Rain,Delayed
IndiGo,Chennai,Bangalore,356,Night,Rain,Delayed
Go First,Chennai,Mumbai,1331,Afternoon,Storm,Delayed
Vistara,Pune,Mumbai,150,Early Morning,Storm,On Time
Vistara,Pune,Mumbai,146,Night,Fog,On Time
Akasa Air,Hyderabad,Delhi,1645,Morning,Cloudy,On Time
SpiceJet,Chennai,Kolkata,1427,Morning,Cloudy,Delayed
Akasa Air,Bangalore,Pune,833,Night,Rain,On Time
Akasa Air,Bangalore,Kolkata,1884,Night,Rain,Delayed
Go First,Kolkata,Delhi,1463,Morning,Fog,On Time
Vistara,Hyderabad,Delhi,1532,Evening,Cloudy,On Time
Go First,Chennai,Ahmedabad,2008,Afternoon,Cloudy,Delayed
IndiGo,Delhi,Kolkata,1592,Early Morning,Cloudy,On Time
IndiGo,Bangalore,Kolkata,1841,Early Morning,Rain,Delayed
Go First,Bangalore,Kolkata,1934,Evening,Storm,Delayed
Air India,Bangalore,Mumbai,949,Early Morning,Cloudy,Delayed
Air India,Pune,Kolkata,1933,Early Morning,Clear,Delayed
Air India,Delhi,Mumbai,1463,Night,Rain,Delayed
Go First,Chennai,Hyderabad,627,Morning,Cloudy,On Time
IndiGo,Ahmedabad,Delhi,976,Morning,Rain,On Time
Vistara,Mumbai,Kolkata,1608,Late Night,Clear,On Time
Akasa Air,Mumbai,Kolkata,1700,Evening,Rain,On Time
SpiceJet,Delhi,Ahmedabad,942,Morning,Fog,On Time
Vistara,Ahmedabad,Delhi,927,Morning,Cloudy,On Time
IndiGo,Delhi,Kolkata,1466,Morning,Storm,On Time
Go First,Bangalore,Pune,806,Early Morning,Clear,On Time
Go First,Bangalore,Chennai,357,Evening,Storm,Delayed
Go First,Hyderabad,Kolkata,1478,Evening,Rain,On Time
Vistara,Pune,Chennai,1181,Night,Clear,Delayed
IndiGo,Ahmedabad,Pune,644,Evening,Rain,On Time
Go First,Pune,Delhi,1422,Night,Storm,Delayed
Vistara,Bangalore,Pune,863,Night,Cloudy,On Time
Akasa Air,Kolkata,Pune,1812,Morning,Storm,Delayed
Go First,Hyderabad,Bangalore,568,Night,Fog,Delayed
Akasa Air,Mumbai,Bangalore,1012,Late Night,Clear,Delayed
SpiceJet,Bangalore,Delhi,2216,Night,Storm,Delayed
SpiceJet,Mumbai,Bangalore,947,Late Night,Clear,Delayed
IndiGo,Ahmedabad,Delhi,959,Early Morning,Fog,Delayed
SpiceJet,Bangalore,Hyderabad,577,Morning,Storm,On Time
Go First,Pune,Hyderabad,552,Night,Storm,Delayed
Vistara,Hyderabad,Pune,571,Afternoon,Storm,Delayed
IndiGo,Hyderabad,Ahmedabad,1233,Afternoon,Fog,Delayed
IndiGo,Bangalore,Ahmedabad,1507,Late Night,Clear,On Time
IndiGo,Delhi,Ahmedabad,968,Afternoon,Fog,Delayed
Air India,Kolkata,Pune,1944,Night,Rain,Delayed
IndiGo,Kolkata,Mumbai,1611,Late Night,Cloudy,On Time
Go First,Ahmedabad,Hyderabad,1268,Night,Fog,On Time
Akasa Air,Mumbai,Ahmedabad,539,Afternoon,Clear,On Time
SpiceJet,Mumbai,Hyderabad,738,Afternoon,Clear,Delayed
Go First,Delhi,Hyderabad,1618,Morning,Storm,Delayed
Akasa Air,Kolkata,Pune,1913,Night,Fog,Delayed
Vistara,Ahmedabad,Bangalore,1426,Morning,Clear,On Time
Air India,Ahmedabad,Pune,639,Morning,Cloudy,Delayed
Go First,Kolkata,Chennai,1325,Late Night,Clear,Delayed
SpiceJet,Chennai,Bangalore,340,Late Night,Fog,Delayed
Go First,Mumbai,Hyderabad,686,Night,Storm,Delayed
Vistara,Delhi,Pune,1407,Morning,Rain,Delayed
Go First,Chennai,Delhi,2140,Morning,Clear,On Time
Akasa Air,Kolkata,Bangalore,1888,Early Morning,Rain,On Time
Akasa Air,Delhi,Pune,1406,Afternoon,Fog,On Time
Go First,Bangalore,Kolkata,1963,Evening,Storm,Delayed
Vistara,Ahmedabad,Chennai,1871,Early Morning,Storm,Delayed
Akasa Air,Kolkata,Hyderabad,1469,Evening,Clear,On Time
SpiceJet,Mumbai,Delhi,1354,Morning,Clear,On Time
Vistara,Delhi,Pune,1516,Early Morning,Clear,On Time
Air India,Delhi,Chennai,2203,Late Night,Clear,On Time
Akasa Air,Bangalore,Mumbai,987,Afternoon,Storm,On Time
Vistara,Delhi,Ahmedabad,976,Morning,Clear,On Time
Go First,Hyderabad,Delhi,1566,Night,Fog,On Time
SpiceJet,Hyderabad,Mumbai,705,Evening,Cloudy,On Time
Air India,Chennai,Bangalore,354,Night,Fog,Delayed
Air India,Chennai,Delhi,2235,Late Night,Rain,On Time
Vistara,Ahmedabad,Hyderabad,1193,Evening,Storm,Delayed
Vistara,Bangalore,Ahmedabad,1427,Late Night,Cloudy,Delayed
Akasa Air,Bangalore,Mumbai,979,Late Night,Clear,On Time
SpiceJet,Bangalore,Kolkata,1789,Morning,Clear,On Time
IndiGo,Bangalore,Hyderabad,555,Late Night,Cloudy,On Time
Akasa Air,Ahmedabad,Chennai,1916,Afternoon,Cloudy,On Time
Vistara,Hyderabad,Kolkata,1421,Morning,Storm,Delayed
SpiceJet,Delhi,Bangalore,2200,Late Night,Storm,Delayed
SpiceJet,Mumbai,Pune,153,Morning,Storm,On Time
IndiGo,Pune,Ahmedabad,691,Evening,Rain,On Time
SpiceJet,Hyderabad,Bangalore,596,Afternoon,Rain,Delayed
SpiceJet,Bangalore,Hyderabad,560,Evening,Clear,Delayed
Air India,Delhi,Ahmedabad,896,Morning,Cloudy,Delayed
Go First,Delhi,Mumbai,1379,Night,Cloudy,On Time
Go First,Kolkata,Chennai,1377,Night,Cloudy,On Time
Akasa Air,Ahmedabad,Chennai,1960,Evening,Storm,Delayed
Akasa Air,Pune,Mumbai,149,Afternoon,Storm,Delayed
Air India,Mumbai,Chennai,1336,Night,Clear,On Time
Vistara,Bangalore,Chennai,332,Early Morning,Fog,On Time
Air India,Chennai,Hyderabad,630,Late Night,Clear,On Time
SpiceJet,Delhi,Ahmedabad,972,Afternoon,Cloudy,On Time
Air India,Hyderabad,Bangalore,590,Night,Storm,Delayed
IndiGo,Ahmedabad,Hyderabad,1247,Late Night,Cloudy,On Time
Air India,Mumbai,Bangalore,948,Afternoon,Cloudy,On Time
Akasa Air,Bangalore,Pune,829,Afternoon,Rain,On Time
Akasa Air,Hyderabad,Chennai,641,Evening,Fog,On Time
Go First,Mumbai,Pune,154,Early Morning,Clear,Delayed
Air India,Delhi,Bangalore,2161,Late Night,Cloudy,On Time
Vistara,Ahmedabad,Chennai,1914,Evening,Storm,On Time
Vistara,Ahmedabad,Kolkata,1906,Early Morning,Clear,On Time
Vistara,Pune,Ahmedabad,638,Early Morning,Cloudy,On Time
SpiceJet,Delhi,Mumbai,1390,Morning,Clear,Delayed
SpiceJet,Ahmedabad,Mumbai,534,Afternoon,Clear,On Time
Akasa Air,Hyderabad,Bangalore,557,Evening,Clear,On Time
IndiGo,Chennai,Pune,1248,Evening,Fog,Delayed
Akasa Air,Mumbai,Bangalore,1004,Morning,Fog,On Time
Vistara,Chennai,Kolkata,1423,Late Night,Rain,Delayed
Go First,Delhi,Mumbai,1371,Evening,Rain,Delayed
IndiGo,Chennai,Hyderabad,606,Night,Cloudy,On Time
Akasa Air,Bangalore,Chennai,354,Morning,Fog,Delayed
IndiGo,Hyderabad,Mumbai,710,Evening,Cloudy,On Time
Air India,Hyderabad,Pune,569,Night,Clear,On Time
Akasa Air,Kolkata,Pune,1959,Early Morning,Rain,Delayed
Akasa Air,Pune,Bangalore,880,Afternoon,Rain,Delayed
Vistara,Delhi,Chennai,2241,Night,Rain,On Time
Air India,Mumbai,Delhi,1391,Night,Cloudy,Delayed
SpiceJet,Delhi,Bangalore,2172,Early Morning,Storm,On Time
Go First,Hyderabad,Pune,580,Morning,Clear,Delayed
Go First,Pune,Delhi,1405,Evening,Fog,On Time
Vistara,Kolkata,Ahmedabad,1888,Evening,Fog,On Time
SpiceJet,Bangalore,Delhi,2132,Late Night,Rain,Delayed
IndiGo,Chennai,Pune,1146,Late Night,Rain,On Time
IndiGo,Kolkata,Mumbai,1676,Morning,Storm,Delayed
Vistara,Bangalore,Kolkata,1825,Late Night,Storm,On Time
Vistara,Delhi,Bangalore,2147,Afternoon,Storm,Delayed
Go First,Mumbai,Ahmedabad,517,Morning,Rain,On Time
Air India,Hyderabad,Chennai,618,Morning,Cloudy,On Time
SpiceJet,Ahmedabad,Bangalore,1548,Evening,Fog,Delayed
Vistara,Hyderabad,Mumbai,722,Early Morning,Clear,On Time
Air India,Chennai,Ahmedabad,1863,Evening,Clear,On Time
Vistara,Pune,Delhi,1484,Early Morning,Cloudy,On Time
IndiGo,Ahmedabad,Chennai,2020,Early Morning,Rain,Delayed
Air India,Pune,Ahmedabad,678,Evening,Fog,Delayed
SpiceJet,Bangalore,Kolkata,1857,Early Morning,Clear,Delayed
Air India,Pune,Bangalore,876,Early Morning,Rain,On Time
Vistara,Ahmedabad,Pune,680,Morning,Fog,Delayed
Vistara,Bangalore,Kolkata,1915,Evening,Cloudy,On Time
SpiceJet,Pune,Chennai,1221,Morning,Rain,On Time
Akasa Air,Chennai,Delhi,2246,Early Morning,Storm,Delayed
Air India,Hyderabad,Ahmedabad,1238,Evening,Fog,Delayed
SpiceJet,Ahmedabad,Pune,663,Evening,Storm,On Time
Akasa Air,Bangalore,Ahmedabad,1494,Morning,Fog,On Time
SpiceJet,Ahmedabad,Mumbai,500,Afternoon,Clear,On Time
SpiceJet,Ahmedabad,Pune,661,Evening,Storm,Delayed
Go First,Kolkata,Chennai,1356,Late Night,Cloudy,Delayed
Air India,Pune,Hyderabad,558,Morning,Clear,On Time
Akasa Air,Ahmedabad,Chennai,1952,Afternoon,Fog,On Time
Vistara,Bangalore,Mumbai,963,Morning,Clear,On Time
Air India,Pune,Mumbai,144,Late Night,Fog,On Time
IndiGo,Delhi,Bangalore,2170,Early Morning,Storm,Delayed
Vistara,Delhi,Bangalore,2236,Early Morning,Cloudy,On Time
SpiceJet,Bangalore,Pune,845,Night,Clear,On Time
Go First,Delhi,Chennai,2170,Morning,Cloudy,On Time
SpiceJet,Bangalore,Kolkata,1852,Night,Fog,On Time
Vistara,Mumbai,Hyderabad,683,Night,Cloudy,Delayed
Vistara,Chennai,Delhi,2264,Afternoon,Clear,On Time
Akasa Air,Hyderabad,Bangalore,582,Early Morning,Clear,On Time
Akasa Air,Pune,Chennai,1193,Evening,Fog,On Time
Go First,Pune,Chennai,1146,Early Morning,Rain,Delayed
SpiceJet,Pune,Bangalore,863,Evening,Clear,On Time
Vistara,Delhi,Kolkata,1455,Night,Rain,On Time
Akasa Air,Chennai,Pune,1139,Night,Rain,On Time
Air India,Ahmedabad,Delhi,951,Early Morning,Rain,Delayed
IndiGo,Delhi,Ahmedabad,948,Afternoon,Rain,On Time
Akasa Air,Chennai,Pune,1157,Late Night,Cloudy,On Time
Akasa Air,Chennai,Pune,1169,Late Night,Cloudy,Delayed
Vistara,Delhi,Pune,1409,Afternoon,Storm,On Time
Vistara,Kolkata,Pune,1836,Late Night,Clear,Delayed
Air India,Chennai,Delhi,2224,Afternoon,Storm,Delayed
Vistara,Pune,Kolkata,1895,Morning,Cloudy,On Time
Go First,Mumbai,Pune,144,Late Night,Clear,On Time
Go First,Kolkata,Delhi,1545,Afternoon,Clear,Delayed
Vistara,Mumbai,Chennai,1366,Evening,Clear,On Time
Akasa Air,Chennai,Ahmedabad,1930,Night,Storm,Delayed
Air India,Pune,Chennai,1175,Morning,Rain,Delayed
Air India,Pune,Delhi,1501,Night,Clear,On Time
IndiGo,Delhi,Ahmedabad,934,Afternoon,Cloudy,On Time
Vistara,Kolkata,Ahmedabad,1946,Morning,Storm,Delayed
SpiceJet,Chennai,Mumbai,1371,Late Night,Clear,Delayed
IndiGo,Hyderabad,Bangalore,548,Evening,Cloudy,On Time
Vistara,Kolkata,Hyderabad,1534,Evening,Rain,On Time
Air India,Kolkata,Chennai,1396,Afternoon,Fog,On Time
Akasa Air,Delhi,Chennai,2241,Night,Rain,On Time
Vistara,Mumbai,Delhi,1369,Afternoon,Cloudy,On Time
Vistara,Pune,Ahmedabad,654,Evening,Storm,Delayed
Akasa Air,Kolkata,Ahmedabad,2029,Afternoon,Storm,On Time
Vistara,Chennai,Pune,1149,Night,Cloudy,On Time
SpiceJet,Ahmedabad,Chennai,1898,Late Night,Cloudy,Delayed
Akasa Air,Kolkata,Bangalore,1890,Early Morning,Clear,On Time
Air India,Hyderabad,Pune,569,Afternoon,Rain,On Time
Vistara,Kolkata,Bangalore,1831,Late Night,Fog,On Time
Air India,Hyderabad,Bangalore,570,Early Morning,Clear,On Time
SpiceJet,Hyderabad,Bangalore,562,Early Morning,Fog,Delayed
IndiGo,Chennai,Pune,1193,Night,Cloudy,On Time
Go First,Bangalore,Kolkata,1951,Morning,Cloudy,Delayed
Vistara,Ahmedabad,Delhi,938,Afternoon,Rain,On Time
SpiceJet,Mumbai,Bangalore,968,Evening,Fog,On Time
Vistara,Delhi,Bangalore,2153,Afternoon,Storm,Delayed
Akasa Air,Kolkata,Bangalore,1957,Morning,Storm,Delayed
SpiceJet,Pune,Chennai,1246,Night,Cloudy,On Time
Air India,Chennai,Mumbai,1278,Afternoon,Storm,Delayed
Akasa Air,Bangalore,Ahmedabad,1432,Afternoon,Storm,Delayed
IndiGo,Kolkata,Delhi,1546,Morning,Fog,Delayed
Vistara,Kolkata,Bangalore,1862,Evening,Fog,Delayed
IndiGo,Pune,Mumbai,144,Afternoon,Fog,Delayed
Vistara,Hyderabad,Delhi,1503,Morning,Storm,On Time
SpiceJet,Delhi,Kolkata,1595,Early Morning,Rain,Delayed
IndiGo,Bangalore,Kolkata,1880,Morning,Cloudy,Delayed
Vistara,Ahmedabad,Mumbai,502,Early Morning,Clear,On Time
Akasa Air,Ahmedabad,Bangalore,1487,Early Morning,Storm,On Time
IndiGo,Ahmedabad,Pune,633,Morning,Clear,On Time
SpiceJet,Hyderabad,Mumbai,736,Night,Cloudy,On Time
IndiGo,Chennai,Mumbai,1292,Afternoon,Clear,Delayed
SpiceJet,Hyderabad,Kolkata,1471,Late Night,Fog,Delayed
Vistara,Bangalore,Hyderabad,575,Early Morning,Storm,On Time
IndiGo,Bangalore,Pune,878,Night,Rain,On Time
Vistara,Kolkata,Chennai,1369,Late Night,Fog,Delayed
IndiGo,Ahmedabad,Hyderabad,1214,Night,Storm,On Time
IndiGo,Mumbai,Ahmedabad,528,Early Morning,Storm,On Time
IndiGo,Chennai,Kolkata,1386,Morning,Cloudy,On Time
SpiceJet,Ahmedabad,Pune,691,Night,Cloudy,Delayed
SpiceJet,Chennai,Delhi,2196,Afternoon,Clear,On Time
Air India,Mumbai,Chennai,1319,Afternoon,Storm,On Time
Vistara,Kolkata,Chennai,1348,Early Morning,Cloudy,Delayed
Vistara,Pune,Ahmedabad,687,Early Morning,Rain,On Time
Go First,Ahmedabad,Bangalore,1518,Morning,Rain,Delayed
Go First,Mumbai,Delhi,1474,Evening,Cloudy,On Time
SpiceJet,Bangalore,Pune,803,Early Morning,Storm,On Time
Go First,Kolkata,Pune,1886,Evening,Storm,On Time
IndiGo,Mumbai,Pune,143,Afternoon,Fog,On Time
Akasa Air,Chennai,Ahmedabad,1909,Night,Fog,Delayed
Go First,Hyderabad,Ahmedabad,1202,Late Night,Clear,On Time
IndiGo,Delhi,Kolkata,1499,Evening,Storm,Delayed
Vistara,Chennai,Mumbai,1403,Morning,Cloudy,On Time
IndiGo,Bangalore,Hyderabad,578,Morning,Clear,On Time
Go First,Hyderabad,Chennai,645,Evening,Storm,On Time
IndiGo,Kolkata,Bangalore,1956,Late Night,Fog,Delayed
IndiGo,Pune,Bangalore,807,Early Morning,Cloudy,On Time
Vistara,Hyderabad,Delhi,1533,Evening,Fog,Delayed
Go First,Delhi,Kolkata,1569,Night,Rain,On Time
Go First,Chennai,Pune,1179,Evening,Fog,Delayed
Go First,Hyderabad,Bangalore,579,Late Night,Clear,Delayed
IndiGo,Chennai,Pune,1149,Night,Clear,On Time
Akasa Air,Delhi,Mumbai,1423,Late Night,Storm,On Time
Go First,Pune,Chennai,1211,Late Night,Cloudy,Delayed
IndiGo,Delhi,Pune,1498,Afternoon,Fog,On Time
Vistara,Ahmedabad,Hyderabad,1282,Night,Fog,On Time
Akasa Air,Bangalore,Delhi,2092,Morning,Rain,Delayed
IndiGo,Kolkata,Mumbai,1708,Late Night,Storm,Delayed
Akasa Air,Mumbai,Pune,148,Night,Fog,Delayed
Vistara,Pune,Mumbai,150,Late Night,Cloudy,On Time
Vistara,Chennai,Ahmedabad,1975,Morning,Storm,Delayed
Vistara,Kolkata,Chennai,1341,Night,Cloudy,On Time
Vistara,Bangalore,Pune,841,Early Morning,Rain,On Time
Vistara,Chennai,Ahmedabad,1924,Late Night,Clear,Delayed
IndiGo,Chennai,Pune,1142,Night,Rain,Delayed
IndiGo,Mumbai,Ahmedabad,522,Night,Clear,On Time
Vistara,Pune,Hyderabad,581,Afternoon,Storm,Delayed
IndiGo,Ahmedabad,Delhi,917,Afternoon,Cloudy,On Time
Air India,Pune,Hyderabad,584,Morning,Cloudy,On Time
Vistara,Ahmedabad,Bangalore,1457,Evening,Clear,On Time
Air India,Chennai,Kolkata,1414,Night,Clear,On Time
Akasa Air,Pune,Chennai,1220,Early Morning,Fog,Delayed
Go First,Chennai,Bangalore,350,Morning,Storm,Delayed
Akasa Air,Ahmedabad,Kolkata,1943,Early Morning,Clear,On Time
Akasa Air,Ahmedabad,Mumbai,512,Morning,Cloudy,Delayed
Go First,Chennai,Bangalore,338,Night,Rain,On Time
Akasa Air,Pune,Ahmedabad,654,Early Morning,Storm,Delayed
Vistara,Hyderabad,Pune,544,Early Morning,Fog,Delayed
SpiceJet,Delhi,Pune,1427,Early Morning,Cloudy,Delayed
Go First,Kolkata,Hyderabad,1524,Night,Storm,On Time
Vistara,Mumbai,Chennai,1358,Late Night,Clear,On Time
Air India,Bangalore,Delhi,2137,Night,Rain,Delayed
SpiceJet,Hyderabad,Bangalore,558,Early Morning,Cloudy,On Time
Vistara,Kolkata,Bangalore,1922,Early Morning,Rain,Delayed
Vistara,Bangalore,Chennai,333,Night,Storm,On Time
Vistara,Hyderabad,Mumbai,713,Early Morning,Storm,Delayed
Go First,Kolkata,Delhi,1541,Night,Fog,Delayed
Go First,Hyderabad,Pune,548,Morning,Clear,On Time
Vistara,Pune,Ahmedabad,656,Night,Storm,On Time
Vistara,Delhi,Mumbai,1441,Evening,Cloudy,On Time
Vistara,Pune,Mumbai,148,Evening,Rain,Delayed
Vistara,Ahmedabad,Hyderabad,1178,Evening,Storm,Delayed
Air India,Chennai,Bangalore,338,Morning,Rain,On Time
Air India,Hyderabad,Delhi,1587,Evening,Cloudy,Delayed
SpiceJet,Mumbai,Ahmedabad,514,Late Night,Storm,Delayed
Air India,Chennai,Bangalore,332,Early Morning,Fog,Delayed
Air India,Chennai,Delhi,2074,Morning,Fog,Delayed
IndiGo,Kolkata,Pune,1882,Evening,Clear,On Time
Akasa Air,Chennai,Ahmedabad,1975,Late Night,Storm,Delayed
Air India,Hyderabad,Kolkata,1558,Night,Cloudy,Delayed
Akasa Air,Kolkata,Hyderabad,1504,Night,Cloudy,Delayed
SpiceJet,Bangalore,Ahmedabad,1425,Early Morning,Rain,On Time
SpiceJet,Hyderabad,Ahmedabad,1264,Evening,Cloudy,Delayed
Air India,Delhi,Ahmedabad,896,Early Morning,Rain,Delayed
Vistara,Mumbai,Pune,151,Morning,Storm,Delayed
SpiceJet,Chennai,Mumbai,1312,Afternoon,Storm,Delayed
IndiGo,Delhi,Chennai,2238,Morning,Fog,On Time
IndiGo,Ahmedabad,Pune,659,Early Morning,Storm,On Time
SpiceJet,Hyderabad,Kolkata,1475,Night,Cloudy,On Time
Vistara,Mumbai,Delhi,1455,Afternoon,Rain,On Time
SpiceJet,Ahmedabad,Mumbai,513,Late Night,Cloudy,Delayed
SpiceJet,Mumbai,Pune,155,Afternoon,Storm,On Time
Vistara,Chennai,Mumbai,1394,Early Morning,Rain,On Time
Vistara,Mumbai,Ahmedabad,522,Night,Clear,On Time
Akasa Air,Chennai,Hyderabad,633,Night,Storm,Delayed
SpiceJet,Mumbai,Kolkata,1603,Afternoon,Fog,On Time
SpiceJet,Delhi,Chennai,2281,Evening,Rain,Delayed
Go First,Bangalore,Kolkata,1933,Night,Rain,On Time
Air India,Pune,Hyderabad,550,Night,Storm,Delayed
Air India,Ahmedabad,Chennai,2052,Late Night,Clear,Delayed
SpiceJet,Chennai,Hyderabad,636,Afternoon,Storm,Delayed
Air India,Pune,Mumbai,149,Night,Fog,On Time
IndiGo,Ahmedabad,Delhi,905,Night,Fog,Delayed
Akasa Air,Delhi,Pune,1416,Night,Storm,Delayed
Go First,Pune,Hyderabad,561,Afternoon,Storm,On Time
IndiGo,Delhi,Ahmedabad,968,Morning,Storm,On Time
SpiceJet,Ahmedabad,Chennai,1984,Evening,Cloudy,Delayed
Go First,Ahmedabad,Kolkata,1899,Early Morning,Fog,Delayed
Go First,Bangalore,Ahmedabad,1458,Early Morning,Rain,On Time
SpiceJet,Mumbai,Bangalore,980,Evening,Cloudy,Delayed
Go First,Hyderabad,Bangalore,587,Night,Cloudy,On Time
Go First,Pune,Ahmedabad,651,Afternoon,Cloudy,On Time
SpiceJet,Pune,Kolkata,1887,Early Morning,Storm,Delayed
SpiceJet,Hyderabad,Pune,547,Early Morning,Cloudy,Delayed
IndiGo,Delhi,Chennai,2263,Late Night,Rain,On Time
IndiGo,Bangalore,Mumbai,948,Early Morning,Rain,Delayed
Vistara,Delhi,Kolkata,1585,Early Morning,Clear,On Time
Air India,Chennai,Mumbai,1383,Afternoon,Fog,Delayed
SpiceJet,Pune,Mumbai,145,Late Night,Rain,Delayed
IndiGo,Delhi,Mumbai,1383,Evening,Clear,On Time
SpiceJet,Hyderabad,Mumbai,738,Afternoon,Storm,Delayed
IndiGo,Chennai,Delhi,2231,Night,Storm,Delayed
SpiceJet,Delhi,Kolkata,1466,Evening,Rain,On Time
SpiceJet,Delhi,Hyderabad,1576,Evening,Clear,Delayed
Air India,Delhi,Ahmedabad,940,Morning,Fog,On Time
Vistara,Mumbai,Pune,146,Early Morning,Fog,Delayed
Go First,Pune,Hyderabad,566,Night,Cloudy,Delayed
Go First,Delhi,Kolkata,1468,Night,Clear,On Time
Akasa Air,Pune,Kolkata,1881,Evening,Cloudy,On Time
Vistara,Kolkata,Chennai,1390,Morning,Cloudy,On Time
Akasa Air,Delhi,Bangalore,2089,Evening,Storm,Delayed
Air India,Pune,Mumbai,145,Late Night,Cloudy,On Time
Akasa Air,Chennai,Bangalore,345,Early Morning,Fog,On Time
Air India,Bangalore,Mumbai,998,Night,Fog,Delayed
Vistara,Delhi,Ahmedabad,944,Late Night,Fog,On Time
Go First,Chennai,Bangalore,350,Morning,Rain,Delayed
Air India,Kolkata,Pune,1813,Evening,Rain,On Time
Akasa Air,Bangalore,Mumbai,944,Late Night,Storm,On Time
SpiceJet,Pune,Mumbai,156,Morning,Cloudy,On Time
Air India,Hyderabad,Bangalore,598,Late Night,Storm,Delayed
Go First,Mumbai,Bangalore,967,Morning,Rain,On Time
Go First,Kolkata,Delhi,1510,Early Morning,Rain,Delayed
Akasa Air,Kolkata,Pune,1834,Late Night,Fog,On Time
Go First,Kolkata,Bangalore,1937,Evening,Clear,On Time
